record_id,Source_Organization,Source_File,Source_Sheet,Processing_Date,Requirement Title,Requirement Description,Associated Program or Requirement Office,Anticipated Procurement Method,Anticipated Contract Type,Anticipated Procurement Instrument,Anticipated Solicitation FY,Anticipated Solicitation Quarter,Anticipated Award FY,Anticipated Award Quarter,Anticipated Period of Performance (Months),Anticipated NAICS Code,Anticipated PSC,Anticipated Place of Performance,Follow-on or New,Existing Contract Number,Incumbent Contractor,Contracting Office UIC,Contracting POC Name,Contracting POC Contact,Secondary POC Name,Secondary POC Contact,Anticipated Facilities Clearance,Anticipated Personnel Clearance,Anticipated Total Value (Millions),value_min_millions,value_max_millions,value_source,value_confidence,Comments,PALT Code,Sub PALT Code,qc_fy_unparsed,qc_qtr_unparsed,qc_value_open_ended,qc_value_missing,qc_uic_suspect,id,title,description,work_type,agency,source_org,naics,psc,set_aside,required_clearance,rfp_fy,rfp_quarter,award_fy,award_quarter,place_of_performance,follow_on,incumbent,contracting_office,est_value_min,est_value_max,anticipated_value,CONTRACTOR,MATCH_SCORE,MATCH_CAPABILITY,MATCH_NAICS,MATCH_PSC,MATCH_REASONS,ACTION
4752a2097e5cf7a9,HQMC,HQMC_compiled_data.tsv,MCICOM HQ,2025-08-28,PPV Real Estate and Housing Support,"Provide policy guidance, financial analysis and management, business case analysis, program improvement recommendations, business process development, analysis of identified opportunities, and contributions to senior leadership inquiries/data calls for PPV Real Estate and Housing Support.",MCICOM GF,Full and Open Competition,Fixed-Price,Federal Supply Schedule Order,2025,Q4,2026,Q1,60,541611 - ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,R408 - SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,"Arlington, VA",Follow-on,M9549420F0030,THE CONCOURSE GROUP,M95494,Christina Neto,christina.e.neto.civ@usmc.mil,Tom Johnston,john.t.johnston2@usmc.mil,TBD,TBD,28.75,7.5,50.0,explicit_range,range_midpoint,,,,False,False,False,False,False,4752a2097e5cf7a9,PPV Real Estate and Housing Support,"Provide policy guidance, financial analysis and management, business case analysis, program improvement recommendations, business process development, analysis of identified opportunities, and contributions to senior leadership inquiries/data calls for PPV Real Estate and Housing Support.","Provide policy guidance, financial analysis and management, business case analysis, program improvement recommendations, business process development, analysis of identified opportunities, and contributions to senior leadership inquiries/data calls for PPV Real Estate and Housing Support.",MCICOM GF,HQMC,541611,R408,Full and Open Competition,TBD,2025,Q4,2026,Q1,"Arlington, VA",Follow-on,THE CONCOURSE GROUP,M95494,7.5,50.0,28.75,NAVANCIO LLC,0.723,0.622,1.0,0.5,Strong capability match (62%); NAICS alignment (100%),Review and pursue
137956022e71fa7f,HQMC,HQMC_compiled_data.tsv,MCINCR,2025-08-28,Adobe Acrobat Pro Enterprise Term License and Adobe Creative Cloud Enterprise Term License,This requirement provides Adobe Acrobat Pro and Creative Cloud Enterprise License to MCCOG,MCCOG,Small Business Set-Aside,Fixed-Price,Delivery Order/Task Order (not under Federal Supply Schedule Contract),2025,Q4,2025,Q4,12,541519- Other Computer Related Services,7A21 – IT And Telecom – Business Application Software,"Quantico, VA",Follow-on,M0026424F0275,"METGreen Solutions, Inc",M00264,Heaven Onley,heaven.j.onley.civ@usmc.mil,John Johnston (Tom),john.t.johnston2@usmc.mil,TBD,TBD,,0.0,2.0,open_ended_below,open_ended,,,,False,False,True,False,False,137956022e71fa7f,Adobe Acrobat Pro Enterprise Term License and Adobe Creative Cloud Enterprise Term License,This requirement provides Adobe Acrobat Pro and Creative Cloud Enterprise License to MCCOG,This requirement provides Adobe Acrobat Pro and Creative Cloud Enterprise License to MCCOG,MCCOG,HQMC,541519,7A21 – IT AND TELECOM – BUSINESS APPLICATION SOFTWARE,Small Business Set-Aside,TBD,2025,Q4,2025,Q4,"Quantico, VA",Follow-on,"METGreen Solutions, Inc",M00264,0.0,2.0,0.0,NAVANCIO LLC,0.722,0.807,0.75,0.0,Strong capability match (81%); NAICS alignment (75%),Review and pursue
0f3863eb02496cc1,NAVSEA,NAVSEA_Enterprise_LRAE_compiled.tsv,Annex 25 Template,2025-08-26,Hawaii Services Follow-On (C),Follow-on Task Order for Hawaii Services,KPT - 24 - KPT-24 - NUWCKPT,Full and Open Competition,Cost-Reimbursement,Single-Award Indefinite-Delivery,TBD,TBD,2026,Q3,,541330,R425,Pearl Harbor HI,Follow-on,N0017819D7814N0025322F3003,Indus Technology Inc.,N00253: NUWCKPT,"Gervais, Peter",peter.gervais.civ@us.navy.mil,,,TBD,TBD,250.0,250.0,250.0,numeric_dollars,exact,SeaPort - NxG,,,False,False,False,False,False,0f3863eb02496cc1,Hawaii Services Follow-On (C),Follow-on Task Order for Hawaii Services,Follow-on Task Order for Hawaii Services,KPT - 24 - KPT-24 - NUWCKPT,NAVSEA,541330,R425,Full and Open Competition,TBD,TBD,TBD,2026,Q3,Pearl Harbor HI,Follow-on,Indus Technology Inc.,N00253: NUWCKPT,250.0,250.0,250.0,NAVANCIO LLC,0.722,0.829,0.5,0.5,Strong capability match (83%),Review and pursue
f4ba6f2454e4ab31,HQMC,HQMC_compiled_data.tsv,MCIEAST,2025-08-28,Collection & Analyzation of Air Samples,"Collection and analysis of eighty-four air samples from portable breathing air panels at the Fleet Readiness Center, Havelock, NC",8th Communications Battalion,Full and Open Competition,Fixed-Price,Purchase Order,2028,Q3,2028,Q4,48,541620,B502,"MCAS Cherry Point, Havelock, NC",Follow-on,M6700123P1000,Advanced Safety Equipment Co.,M67001,Chris Rabassi,chris.rabassi@usmc.mil,Chris Rabassi,chris.rabassi@usmc.mil,TBD,TBD,,0.0,2.0,open_ended_below,open_ended,,,,False,False,True,False,False,f4ba6f2454e4ab31,Collection & Analyzation of Air Samples,"Collection and analysis of eighty-four air samples from portable breathing air panels at the Fleet Readiness Center, Havelock, NC","Collection and analysis of eighty-four air samples from portable breathing air panels at the Fleet Readiness Center, Havelock, NC",8th Communications Battalion,HQMC,541620,B502,Full and Open Competition,TBD,2028,Q3,2028,Q4,"MCAS Cherry Point, Havelock, NC",Follow-on,Advanced Safety Equipment Co.,M67001,0.0,2.0,0.0,NAVANCIO LLC,0.72,0.805,0.75,0.0,Strong capability match (80%); NAICS alignment (75%),Review and pursue
3e743b03235930bf,NAVSUP,NAVSUP_NMCARS_LRAE_compiled.tsv,Annex 25 Template,2025-08-26,DIGITAL MEDIA,SPACE CHARGES MEDIA PLACEMENT DIGITAL MEDIA,NAVY RECRUITING COMMAND,FULL AND OPEN COMPETITION,FIRM FIXED PRICE,DELIVERY ORDER,2025,Q2,2026,Q1,,541810,R701,NY,Follow-on,N0018925FZ146,WPP PLC,N00189,ADELINA LOZZI,adelina.lozzi.civ@us.navy.mil,ELLEN WRIGHT,ellen.s.wright.civ@us.navy.mil,TBD,TBD,50.0,50.0,50.0,numeric_millions,exact,,,,False,False,False,False,False,3e743b03235930bf,DIGITAL MEDIA,SPACE CHARGES MEDIA PLACEMENT DIGITAL MEDIA,SPACE CHARGES MEDIA PLACEMENT DIGITAL MEDIA,NAVY RECRUITING COMMAND,NAVSUP,541810,R701,FULL AND OPEN COMPETITION,TBD,2025,Q2,2026,Q1,NY,Follow-on,WPP PLC,N00189,50.0,50.0,50.0,NAVANCIO LLC,0.717,0.82,0.5,0.5,Strong capability match (82%),Review and pursue
b62dcb6a656dd56e,HQMC,HQMC_compiled_data.tsv,MCINCR,2025-08-28,TOAD for Oracle,Toad for Oracle Developer edition - database management tool used to manage TSO Oracle databases / building and maintaining SQL scripts / performance optimization / automation / data security.,TSO,Small Business Set-Aside,Fixed-Price,Federal Supply Schedule Order,2025,Q4,2026,Q1,12,541519 - OTHER COMPUTER RELATED SERVICES,7A21 - IT AND TELECOM - BUSINESS APPLICATION SOFTWARE,"Quantico, VA",Follow-on,M0026425F0029,"New Tech Solutions, Inc.",M00264,David Laster,david.laster@usmc.mil,Michael Bogatyr,michael.bogatyr@usmc.mil,TBD,TBD,,0.0,2.0,open_ended_below,open_ended,,,,False,False,True,False,False,b62dcb6a656dd56e,TOAD for Oracle,Toad for Oracle Developer edition - database management tool used to manage TSO Oracle databases / building and maintaining SQL scripts / performance optimization / automation / data security.,Toad for Oracle Developer edition - database management tool used to manage TSO Oracle databases / building and maintaining SQL scripts / performance optimization / automation / data security.,TSO,HQMC,541519,7A21,Small Business Set-Aside,TBD,2025,Q4,2026,Q1,"Quantico, VA",Follow-on,"New Tech Solutions, Inc.",M00264,0.0,2.0,0.0,NAVANCIO LLC,0.715,0.796,0.75,0.0,Strong capability match (80%); NAICS alignment (75%),Review and pursue
79635a4484d560ab,HQMC,HQMC_compiled_data.tsv,MCINCR,2025-08-28,VMWare Training Vouchers,VMWare Training Vouchers,Marine Corps Software Factory (MCSWF),Small Business Set-Aside,Fixed-Price,Federal Supply Schedule Order,2025,Q3,2025,Q3,12,541519,"DA01- IT AND TELECOM - BUSINESS
APPLICATION/APPLICATION
DEVELOPMENT SUPPORT SERVICES","Quantico, VA",Follow-on,M00264-24-F-0102,"August Schell Enterprises, Inc",M00264,Edgar Clark,edgar.clark@usmc.mil,Kellie Holley,kellie.holley@usmc.mil,TBD,TBD,4.75,2.0,7.5,explicit_range,range_midpoint,,,,False,False,False,False,False,79635a4484d560ab,VMWare Training Vouchers,VMWare Training Vouchers,VMWare Training Vouchers,Marine Corps Software Factory (MCSWF),HQMC,541519,DA01,Small Business Set-Aside,TBD,2025,Q3,2025,Q3,"Quantico, VA",Follow-on,"August Schell Enterprises, Inc",M00264,2.0,7.5,4.75,NAVANCIO LLC,0.708,0.7,0.75,0.5,Strong capability match (70%); NAICS alignment (75%),Review and pursue
b172fc1683413082,HQMC,HQMC_compiled_data.tsv,MCIWEST,2025-08-28,Legal Database Services,CYBERFEDS on the Web - provides regulatory guidance,WACO & CHRO,Full and Open Competition,Fixed-Price,Federal Supply Schedule Order,2028,Q1,2028,Q3,60,541519,7A21,"MCB Camp Pendleton, CA",Follow-on,M0068123FNG14,"LRP Publications, Inc.",M33000,Gary Lane,gary.lane@usmc.mil,Dakeyah McFarlin,dakeyah.mcfarlin@usmc.mil,TBD,TBD,,0.0,2.0,open_ended_below,open_ended,,,,False,False,True,False,False,b172fc1683413082,Legal Database Services,CYBERFEDS on the Web - provides regulatory guidance,CYBERFEDS on the Web - provides regulatory guidance,WACO & CHRO,HQMC,541519,7A21,Full and Open Competition,TBD,2028,Q1,2028,Q3,"MCB Camp Pendleton, CA",Follow-on,"LRP Publications, Inc.",M33000,0.0,2.0,0.0,NAVANCIO LLC,0.707,0.782,0.75,0.0,Strong capability match (78%); NAICS alignment (75%),Review and pursue
2744073f0b5a7ff6,NAVSEA,NAVSEA_Enterprise_LRAE_compiled.tsv,Annex 25 Template,2025-08-26,N00164-25-RFPREQ-CR-105-0001,NSWC Crane Security TO Follow-On,NSWC Crane,,Cost-Reimbursement,Delivery Order/Task Order (not under Federal Supply Schedule Contract),2026,Q3,2027,Q3,60,541330,R408,"Crane, Indiana",Follow-on,N0016421F3015,Precise Systems,N00164: NSWC Crane,Matthew Burch,matthew.l.burch2.civ@us.navy.mil,John Latta,john.c.latta3.civ@us.navy.mil,TBD,TBD,50.0,50.0,50.0,numeric_dollars,exact,None.,,,False,False,False,False,False,2744073f0b5a7ff6,N00164-25-RFPREQ-CR-105-0001,NSWC Crane Security TO Follow-On,NSWC Crane Security TO Follow-On,NSWC Crane,NAVSEA,541330,R408,nan,TBD,2026,Q3,2027,Q3,"Crane, Indiana",Follow-on,Precise Systems,N00164: NSWC Crane,50.0,50.0,50.0,NAVANCIO LLC,0.705,0.8,0.5,0.5,Strong capability match (80%),Review and pursue
cc68f59c2084ec65,NAVSUP,NAVSUP_NMCARS_LRAE_compiled.tsv,Annex 25 Template,2025-08-26,DIGITAL MEDIA,I SPACE CHARGES MEDIA PLACEMENT DIGITAL MEDIA,NAVY RECRUITING COMMAND,FULL AND OPEN COMPETITION,FIRM FIXED PRICE,DELIVERY ORDER,2025,Q2,2026,Q1,,541810,R701,NY,Follow-on,N0018925FZ047,WPP PLC,N00189,ADELINA LOZZI,adelina.lozzi.civ@us.navy.mil,ADELINA LOZZI,adelina.lozzi.civ@us.navy.mil,TBD,TBD,50.0,50.0,50.0,numeric_millions,exact,,,,False,False,False,False,False,cc68f59c2084ec65,DIGITAL MEDIA,I SPACE CHARGES MEDIA PLACEMENT DIGITAL MEDIA,I SPACE CHARGES MEDIA PLACEMENT DIGITAL MEDIA,NAVY RECRUITING COMMAND,NAVSUP,541810,R701,FULL AND OPEN COMPETITION,TBD,2025,Q2,2026,Q1,NY,Follow-on,WPP PLC,N00189,50.0,50.0,50.0,NAVANCIO LLC,0.705,0.8,0.5,0.5,Strong capability match (80%),Review and pursue
06237b46707c8c39,HQMC,HQMC_compiled_data.tsv,MCINCR,2025-08-28,Adobe Creative Cloud License,This requirement provides Adobe Creatvie Cloud Licenses to MCICOM ISB,MCICOM ISB,Small Business Set-Aside,Fixed-Price,Delivery Order/Task Order (not under Federal Supply Schedule Contract),2025,Q3,2025,Q4,12,541519- Other Computer Related Services,7A21 – IT And Telecom – Business Application Software,WASHINGTON DC,Follow-on,M0026424F0220,"Aurora Systems Consulting, Inc",M00264,Heaven Onley,heaven.j.onley.civ@usmc.mil,John Johnston (Tom),john.t.johnston2@usmc.mil,TBD,TBD,,0.0,2.0,open_ended_below,open_ended,,,,False,False,True,False,False,06237b46707c8c39,Adobe Creative Cloud License,This requirement provides Adobe Creatvie Cloud Licenses to MCICOM ISB,This requirement provides Adobe Creatvie Cloud Licenses to MCICOM ISB,MCICOM ISB,HQMC,541519,7A21 – IT AND TELECOM – BUSINESS APPLICATION SOFTWARE,Small Business Set-Aside,TBD,2025,Q3,2025,Q4,WASHINGTON DC,Follow-on,"Aurora Systems Consulting, Inc",M00264,0.0,2.0,0.0,NAVANCIO LLC,0.702,0.775,0.75,0.0,Strong capability match (77%); NAICS alignment (75%),Review and pursue
bcd60a0dbf41cda3,NAVSUP,NAVSUP_NMCARS_LRAE_compiled.tsv,Annex 25 Template,2025-08-26,"EDUCATION CLOUD, UNLIMITED EDITION","EDUCATION CLOUD, UNLIMITED EDITION",NAVAL POSTGRADUATE SCHOOL,FULL AND OPEN COMPETITION,FIRM FIXED PRICE,NASA SEWP,2027,Q1,2027,Q1,60,541519,7A21,"MONTEREY, CA",Follow-on,N0024425F0036,"COUNTERTRADE PRODUCTS, INC.",N00244,Noni Arcilla,noni.p.arcilla.civ@us.navy.mil,Naima Yelda,naima.yelda1@navy.mil,TBD,TBD,5.0,5.0,5.0,numeric_millions,exact,,,,False,False,False,False,False,bcd60a0dbf41cda3,"EDUCATION CLOUD, UNLIMITED EDITION","EDUCATION CLOUD, UNLIMITED EDITION","EDUCATION CLOUD, UNLIMITED EDITION",NAVAL POSTGRADUATE SCHOOL,NAVSUP,541519,7A21,FULL AND OPEN COMPETITION,TBD,2027,Q1,2027,Q1,"MONTEREY, CA",Follow-on,"COUNTERTRADE PRODUCTS, INC.",N00244,5.0,5.0,5.0,NAVANCIO LLC,0.702,0.775,0.75,0.0,Strong capability match (77%); NAICS alignment (75%),Review and pursue
65f7d542075ec487,NAVSEA,NAVSEA_Enterprise_LRAE_compiled.tsv,Annex 25 Template,2025-08-26,N00164-24-RFPREQ-CR-WXP-0040,Seaport Task order  for  Radar Division Logistics Services Contract - All Division Programs,"NAVSEA IWS1, IWS2, NAVSUP, USMC, USAF",Small Business Set-Aside,Cost-Reimbursement,Delivery Order/Task Order (not under Federal Supply Schedule Contract),2025,Q2,2025,Q4,60,541330,R425,"CRANE, IN",Follow-on,N0017819D7266 N0016419F3500,BOWHEAD PROGRAM MANAGEMENT AND OPERATIONS LLC,N00164: NSWC Crane,Laura Armes,laura.m.armes.civ@us.navy.mil,Seth Taylor,seth.t.taylor.civ@us.navy.mil,TBD,TBD,100.0,100.0,100.0,numeric_dollars,exact,SEAPORT TASK ORDER,,,False,False,False,False,False,65f7d542075ec487,N00164-24-RFPREQ-CR-WXP-0040,Seaport Task order  for  Radar Division Logistics Services Contract - All Division Programs,Seaport Task order  for  Radar Division Logistics Services Contract - All Division Programs,"NAVSEA IWS1, IWS2, NAVSUP, USMC, USAF",NAVSEA,541330,R425,Small Business Set-Aside,TBD,2025,Q2,2025,Q4,"CRANE, IN",Follow-on,BOWHEAD PROGRAM MANAGEMENT AND OPERATIONS LLC,N00164: NSWC Crane,100.0,100.0,100.0,NAVANCIO LLC,0.7,0.792,0.5,0.5,Strong capability match (79%),Review and pursue
